Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Alex Abrines\abrinal01,SG,24,OKC,73,1095,9.1,.573,.755,.145,2.3,8.8,5.5,3.4,1.6,0.7,7.7,12.7,,1.3,0.9,2.2,.095,,-0.6,-1.8,-2.3,-0.1
2,Quincy Acy\acyqu01,PF,27,BRK,66,1270,7.5,.510,.797,.173,3.1,17.2,10.1,5.9,1.1,1.6,14.1,14.3,,-0.4,1.0,0.6,.024,,-2.5,-0.3,-2.8,-0.2
3,Steven Adams\adamsst01,C,24,OKC,73,2390,20.7,.628,.003,.397,16.9,13.9,15.5,5.5,1.9,2.9,13.3,16.7,,6.4,2.9,9.3,.187,,2.2,1.2,3.4,3.3
4,Bam Adebayo\adebaba01,C,20,MIA,65,1304,15.6,.569,.022,.529,9.7,21.4,15.5,11.2,1.1,2.5,13.3,15.8,,2.2,1.8,4.0,.149,,-1.6,1.8,0.2,0.7
5,Arron Afflalo\afflaar01,SG,32,ORL,51,657,5.5,.508,.425,.170,0.7,10.5,5.5,6.2,0.3,1.1,11.3,12.4,,-0.1,0.2,0.1,.005,,-4.3,-1.7,-6.0,-0.7
6,Cole Aldrich\aldrico01,C,29,MIN,19,46,5.2,.340,.000,.400,7.5,25.4,16.4,5.9,2.2,1.9,5.4,17.9,,-0.1,0.1,0.0,-0.033,,-7.4,-0.6,-8.0,-0.1
7,LaMarcus Aldridge\aldrila01,C,32,SAS,71,2372,25.2,.572,.069,.304,10.9,17.1,14.0,11.4,0.8,3.1,6.9,29.2,,7.1,3.4,10.6,.214,,3.0,0.3,3.4,3.2
8,Jarrett Allen\allenja01,C,19,BRK,68,1341,17.6,.634,.037,.387,10.9,17.7,14.3,5.6,1.0,4.1,15.3,16.7,,2.5,1.3,3.9,.139,,-1.1,1.2,0.1,0.7
9,Kadeem Allen\allenka01,PG,25,BOS,13,62,-1.0,.298,.500,.400,1.8,7.0,4.4,10.6,1.6,1.4,29.8,12.1,,-0.2,0.1,-0.1,-0.076,,-8.5,1.0,-7.6,-0.1
10,Tony Allen\allento01,SF,36,NOP,22,273,8.7,.514,.132,.231,8.2,10.4,9.4,4.6,1.9,0.9,15.9,18.9,,-0.2,0.2,0.1,.014,,-3.9,-1.3,-5.2,-0.2
11,Al-Farouq Aminu\aminual01,PF,27,POR,65,1950,12.4,.529,.586,.144,5.1,22.3,13.8,5.8,1.9,1.5,10.7,14.9,,1.2,3.0,4.2,.103,,-0.5,1.7,1.2,1.6
